element_id	longitude_deg	latitude_deg	depth_m	strike_deg	dip_deg	strike_slip_m	dip_slip_m	area_m2	shear_modulus_pa
952	96.3991701963402	18.2691622391347	-9952.96273679218	171.434584570593	75.3835204274277	-0.310368436215035	0.111408273740573	6552427.28740482	25527372293.5691
953	96.3914020255118	18.3302135671117	-9127.43365392599	171.107703375181	76.6448043945693	-0.832006746085634	0.134927793109152	6516570.66347815	24805668270.8632
954	96.3919438151463	18.314953307501	-9952.96273679218	171.240888996147	76.8309618509129	-0.66560127606621	0.125366439530768	6530763.35813355	25527372293.5691
955	96.3840593031814	18.3760043176817	-9127.43365392599	171.062309005066	77.5760563013436	-0.973822710352948	0.155746574499108	6497081.91131128	24805668270.8632
956	96.384713455783	18.3607439439279	-9952.96273679218	171.197326295729	77.6175136953143	-0.897873418869157	0.146285904683031	6510162.045424	25527372293.5691
957	96.3767091870363	18.4217946311899	-9127.43365392599	171.287311097238	78.9580001901667	-0.89273464652346	0.171828518164404	6478786.28167141	24805668270.8632
958	96.3774766943887	18.4065341498493	-9952.96273679218	171.38167991384	78.78112454053	-0.880211227594671	0.163841049494152	6490673.8708298	25527372293.5691
959	96.3693506190804	18.4675845062538	-9127.43365392599	171.201198065434	79.0730533530469	-0.775896942997431	0.184426828356845	6461862.36854288	24805668270.8632
960	96.3702311484791	18.4523239262953	-9952.96273679218	171.314807400337	78.9825340841695	-0.75576843081531	0.17680046003919	6472415.53723862	25527372293.5691
961	96.3619838330272	18.5133739392071	-9127.43365392599	171.111462221267	79.16301066003	-0.769545416600308	0.198139572086345	6446518.11199347	24805668270.8632
962	96.3629750976383	18.4981132728672	-9952.96273679218	171.241240614844	79.1242058628206	-0.698641427540251	0.189019478689948	6455616.38724259	25527372293.5691
963	96.3546097258652	18.5591629253412	-9127.43365392599	171.116918240863	79.8472126823008	-0.940420084475503	0.21044423071798	6432893.50927829	24805668270.8632
964	96.3557074430162	18.5439021879146	-9952.96273679218	171.23785272014	79.7722474889501	-0.792100581209797	0.201799305017025	6440507.27945686	25527372293.5691
965	96.3472292435767	18.604951459994	-9127.43365392599	171.10282172596	80.5857574775482	-1.25402681472034	0.212080042191118	6420996.83351354	24805668270.8632
966	96.3484276151972	18.5896906687862	-9952.96273679218	171.232509508175	80.4607138957834	-1.04655138993104	0.207634825631827	6427208.88232074	25527372293.5691
967	96.3398432149488	18.6507395388167	-9127.43365392599	171.093034328431	81.1749319123332	-1.63684433359147	0.202600068911945	6410694.83783074	24805668270.8632
968	96.3411356826163	18.6354787117534	-9952.96273679218	171.19725692363	80.9533397011024	-1.38913761568162	0.201015519946367	6415674.2149372	25527372293.5691
969	96.3324527029716	18.6965271572255	-9127.43365392599	171.06317982486	81.7454784784383	-2.00541561454613	0.190767772027187	6401748.4343591	24805668270.8632
970	96.3338327175431	18.6812663115696	-9952.96273679218	171.183036833362	81.4137397895442	-1.7506817744209	0.188541717749168	6405700.66915138	25527372293.5691
971	96.3250596107476	18.7423143095556	-9127.43365392599	171.134022721083	82.6194370560014	-2.28710307481323	0.183740198634884	6393871.56571711	24805668270.8632
972	96.326521237656	18.7270534609982	-9952.96273679218	171.225936395809	82.0277308730731	-2.05325618020765	0.178445750843714	6396990.37873555	25527372293.5691
973	96.3176672066424	18.7881009884636	-9127.43365392599	171.139980645605	83.1760953588809	-2.51612921177489	0.181801726483325	6386791.56989032	24805668270.8632
974	96.3192054623329	18.7728401507071	-9952.96273679218	171.235808158152	82.8519058778297	-2.28640067951448	0.173866507358286	6389226.27531986	25527372293.5691
975	96.3102803731956	18.8338871848337	-9127.43365392599	171.201828899303	83.7999300678179	-2.70799608672447	0.180587465208919	6380294.99140345	24805668270.8632
976	96.311891246735	18.8186263696744	-9952.96273679218	171.233691425476	83.5126081006668	-2.49816773006008	0.171645590231709	6382138.28085058	25527372293.5691
977	96.3029055645805	18.8796728881381	-9127.43365392599	171.223816315517	84.3040095569253	-2.8303534605574	0.173719246706605	6374249.06618775	24805668270.8632
978	96.3045857423832	18.8644121059578	-9952.96273679218	171.301491489625	84.1386462653686	-2.65793564415549	0.166425357690406	6375543.86413568	25527372293.5691
979	96.2955505869039	18.9254580870225	-9127.43365392599	171.293854882851	84.8694965574346	-2.9056621780466	0.155418176614617	6368596.97443958	24805668270.8632
980	96.297296956643	18.9101973475257	-9952.96273679218	171.354745184437	84.4757831686798	-2.75452475432064	0.151978622575099	6369356.68477893	25527372293.5691
981	96.2882243214042	18.9712427699171	-9127.43365392599	171.290344915208	85.163225711943	-2.97120860707343	0.124448453246824	6363333.64730168	24805668270.8632
982	96.29003340393	18.9559820828716	-9952.96273679218	171.378363463373	84.860480797186	-2.82559376299635	0.126138615669593	6363567.69942911	25527372293.5691
983	96.2809363721021	19.0170269256771	-9127.43365392599	171.347916459253	85.6937476369516	-3.05380969319377	0.100149606416434	6358474.60641524	24805668270.8632
984	96.2828039212783	19.0017663013432	-9952.96273679218	171.420042165549	85.4018901803277	-2.8946336197988	0.0988899121958529	6358209.05083791	25527372293.5691
985	96.2736965038743	19.0628105443956	-9127.43365392599	171.413023106415	86.2031652889115	-3.14037136883985	0.117375069330434	6354030.90113531	24805668270.8632
986	96.2756175359333	19.0475499933627	-9952.96273679218	171.478654483426	85.9266318799237	-2.96698179935818	0.100088174371337	6353313.0231527	25527372293.5691
987	96.266513827846	19.1085936183834	-9127.43365392599	171.485296669512	86.6929056870999	-3.17240066896103	0.170284928166583	6349998.60365011	24805668270.8632
988	96.2684831971696	19.093333150775	-9952.96273679218	171.541722539656	86.4392119928176	-3.00772185726068	0.145817935839223	6348880.85146559	25527372293.5691
989	96.2593959511402	19.1543761430072	-9127.43365392599	171.565702492864	87.1686139175668	-3.17726573674497	0.225799124689204	6346363.01148188	24805668270.8632
990	96.2614092943678	19.1391157673789	-9952.96273679218	171.612118930119	86.9476012416727	-3.00009008403214	0.205735545507602	6344875.16916396	25527372293.5691
991	96.2523484851268	19.2001581169434	-9127.43365392599	171.653986634419	87.6392382077824	-3.1923430517699	0.265667343627135	6343111.13100326	24805668270.8632
992	96.2544030924349	19.1848978394417	-9952.96273679218	171.699152734192	87.4489180790753	-3.00400674400475	0.254277531610877	6341239.91204155	25527372293.5691
993	96.2453751873147	19.2459395416518	-9127.43365392599	171.750675165551	88.1002012261694	-3.20784470878428	0.276240189596745	6340243.84039763	24805668270.8632
994	96.2474703323776	19.2306793659127	-9952.96273679218	171.795203981191	87.9469849818079	-3.01677408077106	0.27881761064038	6337935.77848974	25527372293.5691
995	96.2384786737633	19.2917204202956	-9127.43365392599	171.851101164417	88.5609938305799	-3.22234688779758	0.242528004091456	6337779.18709147	24805668270.8632
996	96.2406151733931	19.2764603481964	-9952.96273679218	171.896521257517	88.4405040702538	-3.03050234198977	0.265248752018563	6334969.56638401	25527372293.5691
997	96.2316613293972	19.3375007566218	-9127.43365392599	171.953632044378	89.0351474500008	-3.28580880262375	0.186878618263325	6335741.85592766	24805668270.8632
998	96.233840476017	19.3222407895745	-9952.96273679218	171.999694374021	88.9365917657844	-3.07164539034349	0.215820733808486	6332398.73108901	25527372293.5691
999	96.2249259512373	19.3832805542934	-9127.43365392599	172.057980859388	89.5290180011182	-3.50921030158507	0.140989120241742	6334142.27255887	24805668270.8632
1000	96.2271482576344	19.3680206945229	-9952.96273679218	172.103681462639	89.4375897540144	-3.22665443476137	0.167258854565895	6330305.31569295	25527372293.5691
